Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-01-18,MSFT,320.96,322.86,318.86,321.25,321.25,3920803
2024-01-19,MSFT,320.84,321.71,320.19,321.9,321.9,4357679
2024-01-22,MSFT,320.39,322.38,319.25,321.19,321.19,2553731
2024-01-23,MSFT,319.34,321.3,319.25,321.38,321.38,1195716
2024-01-24,MSFT,320.18,322.35,317.68,319.4,319.4,3681719
2024-01-25,MSFT,318.14,318.84,318.38,317.84,317.84,3412324
2024-01-26,MSFT,318.89,321.37,317.91,318.71,318.71,1890695
2024-01-29,MSFT,319.95,319.68,319.24,318.98,318.98,1000126
2024-01-30,MSFT,321.19,321.94,320.69,321.24,321.24,1838761
2024-01-31,MSFT,322.78,325.15,321.77,322.81,322.81,4173360
2024-02-01,MSFT,322.27,322.15,321.02,321.05,321.05,1500315
2024-02-02,MSFT,321.02,321.27,319.1,320.09,320.09,2769246
2024-02-05,MSFT,320.08,321.06,317.9,319.47,319.47,2158521
2024-02-06,MSFT,318.67,319.65,318.19,318.72,318.72,3414472
2024-02-07,MSFT,318.12,319.06,317.11,318.39,318.39,2299445
2024-02-08,MSFT,319.43,321.31,316.07,320.14,320.14,1741426
2024-02-09,MSFT,318.26,318.33,316.6,317.35,317.35,1498716
2024-02-12,MSFT,318.84,319.21,316.39,318.64,318.64,4141069
2024-02-13,MSFT,318.95,320.16,317.25,319.5,319.5,4321127
2024-02-14,MSFT,319.09,320.85,319.48,319.3,319.3,3559272
2024-02-15,MSFT,320.6,321.28,318.93,320.47,320.47,4280597
2024-02-16,MSFT,319.28,319.68,318.99,319.5,319.5,3276106
2024-02-19,MSFT,320.79,320.68,316.98,319.48,319.48,3766230
2024-02-20,MSFT,319.88,319.39,318.82,320.21,320.21,4180288
2024-02-21,MSFT,317.31,317.57,315.34,316.91,316.91,3381412
2024-02-22,MSFT,316.99,318.9,316.71,317.03,317.03,3002324
2024-02-23,MSFT,315.7,316.28,314.98,315.67,315.67,3067801
2024-02-26,MSFT,317.4,318.9,317.46,317.11,317.11,1132717
2024-02-27,MSFT,317.45,318.07,316.74,316.11,316.11,4324323
2024-02-28,MSFT,316.39,317.88,317.21,317.29,317.29,3745525
2024-02-29,MSFT,318.27,319.66,317.56,318.9,318.9,3477014
2024-03-01,MSFT,318.41,321.29,317.09,316.87,316.87,4951416
2024-03-04,MSFT,316.3,318.26,314.88,318.76,318.76,1494592
2024-03-05,MSFT,317.42,319.01,317.74,318.83,318.83,4245886
2024-03-06,MSFT,317.17,318.87,316.86,316.82,316.82,4854261
2024-03-07,MSFT,316.06,316.66,315.05,316.37,316.37,2217078
2024-03-08,MSFT,315.52,315.46,314.68,315.32,315.32,4578226
2024-03-11,MSFT,316.79,319.24,316.28,317.67,317.67,2954727
2024-03-12,MSFT,315.61,318.03,314.77,316.38,316.38,3029454
2024-03-13,MSFT,316.62,317.28,314.67,316.57,316.57,3427540
2024-03-14,MSFT,315.61,315.55,315.04,315.55,315.55,2715630
2024-03-15,MSFT,314.79,315.61,313.91,315.01,315.01,1318408
2024-03-18,MSFT,315.08,316.91,313.47,314.49,314.49,1468276
2024-03-19,MSFT,314.54,316.09,313.01,314.59,314.59,2014920
2024-03-20,MSFT,313.13,313.91,313.42,313.03,313.03,3154697
2024-03-21,MSFT,312.49,312.73,312.29,312.81,312.81,1511411
2024-03-22,MSFT,312.02,314.67,310.53,311.09,311.09,3922808
